,number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,Participant
0,1536,250,2,4,405.1,619.7,0.7,PP89
0,1126,113,3,4,282.3,383,0.7,PP76
0,1207,131,3,4,302.9,402,0.8,PP62
0,1731,264,3,4,470.5,640,0.7,P67
0,835,45,4,5,184.6,212,0.9,P73
0,1007,139,3,5,221.1,317,0.7,P8
0,561,47,4,5,111.7,155,0.7,P72
0,1918,112,4,5,393.9,464,0.8,P66
0,967,3,3,3,344.6,346,1,PP63
0,1134,155,3,4,288.3,453.5,0.6,PP77
0,50,50,0.3,0.3,154.4,184,0.8,PP61
0,1487,209,3,5,326.6,525,0.6,PP49
0,602,39,4,5,116.8,153,0.8,P70
0,2053,259,3,5,453.7,605,0.7,P64
0,A,noisy,background,or,unnatural-sounding,speech,detected.,P58
0,555,64,3,5,121.2,185,0.7,P59
0,2061,189,3,4,477.4,602,0.8,P65
0,744,54,3,4,178.1,215,0.8,P71
0,355,102,2,4,98.7,226,0.4,PP48
0,803,112,2,4,213.5,337.4,0.6,PP74
0,1368,149,3,4,328.8,422,0.8,PP60
0,777,44,4,4,182.1,220,0.8,PP58
0,1703,180,4,5,338.8,447,0.8,PP64
0,1298,113,3,5,275.2,395.5,0.7,PP70
0,1870,246,3,5,395.7,616,0.6,P49
0,A,noisy,background,or,unnatural-sounding,speech,detected.,P61
0,1347,152,3,5,298.9,409,0.7,P60
0,596,46,3,4,133.4,171,0.8,P74
0,930,106,3,5,205.3,296,0.7,P48
0,443,176,1,2,246.1,408,0.6,PP71
0,2815,247,3,4,681.4,832,0.8,PP65
0,807,76,3,4,191,261,0.7,PP59
0,1205,121,3,4,301.1,427,0.7,PP73
0,1708,347,2,3,536.8,818.9,0.7,PP67
0,1618,177,3,4,367,489,0.8,P62
0,721,44,3,4,182.4,216,0.8,P76
0,1014,161,3,5,206.8,335,0.6,P89
0,838,85,3,5,170,241,0.7,P77
0,1175,117,3,3,336.5,410,0.8,P63
0,1973,84,5,5,383.1,432,0.9,PP66
0,1143,106,3,5,242.6,348.9,0.7,PP72
0,1440,208,3,4,365.1,509,0.7,PP15
0,714,118,2,3,224.4,311,0.7,PP29
0,1415,179,3,5,287.4,426,0.7,P10
0,1101,81,4,5,218.9,272,0.8,P11
0,891,70,4,5,181.3,245,0.7,PP14
0,1722,131,4,5,346.2,433,0.8,PP16
0,985,87,3,5,216.2,294,0.7,P13
0,652,80,3,5,132.2,205,0.6,P12
0,1587,129,3,4,371.9,460.5,0.8,PP17
0,950,131,3,5,208.1,312,0.7,PP8
0,A,noisy,background,or,unnatural-sounding,speech,detected.,PP13
0,1557,160,3,4,370.5,490,0.8,P16
0,483,111,2,3,139.3,270,0.5,P17
0,682,65,4,5,125.7,187,0.7,PP12
0,695,98,3,5,145.2,238,0.6,PP10
0,840,61,4,4,191.2,231,0.8,P29
0,1721,157,4,5,364.6,473,0.8,P15
0,784,97,3,5,171.3,246,0.7,P14
0,711,44,4,5,147,180,0.8,PP11
0,1423,129,4,5,290,377,0.8,PP34
0,752,60,3,4,184.8,228,0.8,PP20
0,692,56,4,5,149.5,190,0.8,PP7
0,1456,130,4,5,302.2,383,0.8,P25
0,1471,140,4,5,285.3,397,0.7,P31
0,264,74,2,3,78.9,175,0.5,P30
0,1390,105,4,5,275.9,364,0.8,P24
0,1534,3,3,3,520.8,522,1,PP6
0,987,61,4,4,221.9,268,0.8,PP21
0,508,70,2,4,144.9,206,0.7,PP35
0,657,75,3,4,150.2,208,0.7,PP37
0,1538,194,3,4,343.5,473,0.7,PP4
0,1353,138,4,5,267.4,357,0.7,P32
0,729,39,4,4,163.8,199,0.8,P27
0,847,135,3,4,209,306,0.7,P33
0,658,83,3,4,170.2,236,0.7,PP5
0,1167,97,3,4,277.4,350,0.8,PP22
0,570,61,3,5,122.8,180.3,0.7,PP1
0,901,119,3,5,172.1,267,0.6,PP32
0,808,88,3,5,172,250,0.7,P37
0,1474,124,4,5,323,403,0.8,P22
0,1177,110,4,5,226,311,0.7,PP33
0,1000,105,4,5,203.3,276,0.7,PP27
0,1495,148,4,5,284.6,423,0.7,PP31
0,1706,151,4,5,371.9,464,0.8,PP25
0,588,67,3,4,164.8,234,0.7,P20
0,1303,50,3,4,364.8,395,0.9,P34
0,549,136,2,5,111.9,245,0.5,P35
0,1734,122,3,4,394,535,0.7,P21
0,745,51,4,5,149,210,0.7,PP24
0,188,30,0.8,0.9,209.8,227,0.9,PP30
0,1950,230,3,5,418,575,0.7,PP3
0,1134,178,2,3,333.4,493.1,0.7,PP80
0,1163,63,5,5,216.5,256,0.8,PP57
0,594,42,4,5,131.1,166,0.8,PP43
0,874,78,3,4,233,279,0.8,P52
0,1496,80,4,5,313.9,361,0.9,P85
0,684,62,3,5,143.2,197,0.7,P1
0,1352,93,4,5,274.1,335,0.8,P84
0,885,19,4,4,215.8,230,0.9,P53
0,439,94,2,3,131,210,0.6,P47
0,866,110,3,4,198.6,288,0.7,PP42
0,735,40,3,3,221,239,0.9,PP56
0,996,217,0.9,3,384.4,1051.6,0.4,PP81
0,1326,143,3,5,286.7,408,0.7,PP83
0,1276,115,4,5,254.7,320,0.8,P45
0,1334,161,3,4,303,424,0.7,P79
0,1229,161,3,5,252.7,375,0.7,P86
0,1540,173,3,4,342.5,474,0.7,P3
0,512,44,3,5,107.2,170,0.6,P78
0,1252,48,3,3,379,406,0.9,P44
0,894,118,2,3,299.9,383,0.8,P50
0,1012,43,3,3,293.8,320,0.9,PP69
0,675,50,3,4,171.8,213,0.8,PP55
0,1721,251,3,4,382.9,606.2,0.6,PP86
0,1757,401,2,4,438.9,840.4,0.5,PP79
0,911,72,4,5,176.9,225,0.8,PP45
0,634,44,4,5,124.2,166,0.7,P83
0,796,87,3,4,213.5,270,0.8,P7
0,1472,55,3,4,406.5,437,0.9,P6
0,588,28,3,3,168.6,184,0.9,P55
0,940,120,3,4,219.4,314,0.7,P69
0,1003,80,3,4,240.9,301,0.8,PP50
0,1347,189,3,4,332.3,474,0.7,PP44
0,966,119,3,5,194.2,337.4,0.6,PP78
0,1236,184,2,2,497.6,626.7,0.8,PP85
0,1100,103,3,3,322,385,0.8,PP52
0,829,69,4,5,174.2,222,0.8,P43
0,1326,68,4,5,267.8,324,0.8,P57
0,963,81,4,5,183.6,259,0.7,P80
0,944,82,4,5,197.2,263,0.7,P4
0,593,62,3,4,136.8,177,0.8,P5
0,981,57,4,5,193.5,235,0.8,P81
0,1025,83,3,3,297.6,351,0.8,P56
0,1573,191,3,5,326.3,497,0.7,P42
0,520,62,3,4,120.4,167,0.7,PP47
0,1294,48,4,5,279.1,310,0.9,PP53
0,805,200,1,2,357.5,540.1,0.7,PP84
